,Precision,Recall,F1-score,Accuracy
"50, penalty=l1, C=0.5",0.7042,0.7042,0.7042,0.7043
"50, penalty=l2, C=0.5",0.7041,0.7041,0.7041,0.7041
"50, penalty=l2, C=1",0.7035,0.7035,0.7035,0.7036
"50, penalty=l1, C=1",0.7034,0.7034,0.7034,0.7035
"50, penalty=l2, C=5",0.7033,0.7033,0.7033,0.7033
"50, penalty=l1, C=5",0.7029,0.7029,0.7029,0.7029
"150, penalty=l2, C=0.5",0.6939,0.6879,0.6846,0.6867
"150, penalty=l2, C=1",0.691,0.6846,0.681,0.6833
"150, penalty=l1, C=0.5",0.6898,0.6831,0.6794,0.6819
"150, penalty=l1, C=1",0.6898,0.683,0.6792,0.6817
"150, penalty=l2, C=5",0.6893,0.6825,0.6787,0.6812
"150, penalty=l1, C=5",0.6892,0.6823,0.6785,0.6811
"100, penalty=l1, C=0.5",0.6473,0.6467,0.6465,0.6471
"100, penalty=l1, C=1",0.6464,0.6457,0.6456,0.6461
"100, penalty=l2, C=1",0.6461,0.6454,0.6453,0.6459
"100, penalty=l2, C=5",0.6459,0.6453,0.6452,0.6457
"100, penalty=l2, C=0.5",0.6459,0.6452,0.645,0.6456
"100, penalty=l1, C=5",0.6454,0.6448,0.6447,0.6452
"200, penalty=l1, C=1",0.6191,0.6183,0.6179,0.6188
"200, penalty=l1, C=5",0.6187,0.6179,0.6175,0.6184
"200, penalty=l2, C=5",0.618,0.6172,0.6168,0.6177
"200, penalty=l2, C=1",0.6168,0.6158,0.6154,0.6164
"200, penalty=l1, C=0.5",0.6163,0.6154,0.615,0.616
"200, penalty=l2, C=0.5",0.6163,0.6152,0.6147,0.6159
"250, penalty=l2, C=0.5",0.5682,0.5641,0.5566,0.5625
"250, penalty=l2, C=1",0.5666,0.5622,0.5539,0.5605
"250, penalty=l2, C=5",0.5662,0.5611,0.5516,0.5593
"250, penalty=l1, C=1",0.565,0.5604,0.5514,0.5587
"250, penalty=l1, C=0.5",0.563,0.5589,0.5506,0.5572
"250, penalty=l1, C=5",0.5647,0.5596,0.5496,0.5577
