,Precision,Recall,F1-score,Accuracy
"50, penalty=l1, C=1",0.7058,0.7058,0.7058,0.7059
"50, penalty=l1, C=5",0.7054,0.7054,0.7054,0.7055
"50, penalty=l2, C=0.5",0.7054,0.7054,0.7054,0.7055
"50, penalty=l2, C=1",0.7054,0.7054,0.7054,0.7055
"50, penalty=l1, C=0.5",0.7054,0.7054,0.7054,0.7055
"50, penalty=l2, C=5",0.7053,0.7053,0.7053,0.7053
"150, penalty=l2, C=0.5",0.69,0.684,0.6806,0.6828
"150, penalty=l2, C=1",0.69,0.6839,0.6804,0.6827
"150, penalty=l2, C=5",0.6896,0.6834,0.6799,0.6821
"150, penalty=l1, C=5",0.6896,0.6834,0.6798,0.6821
"150, penalty=l1, C=0.5",0.6894,0.6832,0.6797,0.682
"150, penalty=l1, C=1",0.6893,0.6831,0.6796,0.6819
"100, penalty=l1, C=5",0.6445,0.6437,0.6434,0.6441
"100, penalty=l2, C=1",0.6445,0.6437,0.6434,0.6441
"100, penalty=l2, C=0.5",0.6445,0.6437,0.6434,0.6441
"100, penalty=l1, C=1",0.6443,0.6435,0.6433,0.644
"100, penalty=l1, C=0.5",0.6443,0.6435,0.6433,0.644
"100, penalty=l2, C=5",0.6441,0.6433,0.643,0.6437
"200, penalty=l1, C=0.5",0.6207,0.6197,0.6191,0.6203
"200, penalty=l1, C=1",0.6204,0.6194,0.6189,0.62
"200, penalty=l2, C=1",0.6203,0.6193,0.6188,0.6199
"200, penalty=l2, C=5",0.6201,0.6192,0.6187,0.6197
"200, penalty=l1, C=5",0.62,0.619,0.6186,0.6196
"200, penalty=l2, C=0.5",0.6199,0.6189,0.6184,0.6195
"250, penalty=l1, C=0.5",0.5674,0.5628,0.5541,0.5611
"250, penalty=l1, C=1",0.5671,0.5623,0.5533,0.5605
"250, penalty=l2, C=0.5",0.566,0.5614,0.5524,0.5596
"250, penalty=l2, C=1",0.5661,0.5612,0.5521,0.5595
"250, penalty=l2, C=5",0.5663,0.5614,0.5521,0.5596
"250, penalty=l1, C=5",0.5658,0.561,0.5517,0.5592
